s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.9051075E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.9051075E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1559517E-001, 0.0000000E+000, 0.0000000E+000,-1.0028786E-006,-6.0908411E-003, 0.0000000E+000,-2.0461154E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.1379594E-003, 0.0000000E+000, 1.6355345E-003, 0.0000000E+000
 2.3119034E-001, 5.7769691E+001, 0.0000000E+000,-9.9541729E-007, 9.7289732E-001,-3.0487182E-010,-2.6887025E-003, 0.0000000E+000, 0.0000000E+000,-1.1840889E-002, 5.8739898E+001, 0.0000000E+000, 3.1105623E-003, 0.0000000E+000
 3.4678552E-001, 1.1733318E+002, 0.0000000E+000,-1.1481060E+000, 1.9291264E+000,-7.1355705E-002,-9.6544492E-003, 0.0000000E+000, 0.0000000E+000, 5.8160310E+001, 1.1803319E+002, 0.0000000E+000, 4.3219526E-003, 0.0000000E+000
 4.6238068E-001, 1.7102998E+002, 0.0000000E+000,-2.3639101E+001, 2.3219584E+000,-2.6212175E-001,-1.0717249E-002, 0.0000000E+000, 0.0000000E+000, 1.1442672E+002, 1.4943999E+002, 0.0000000E+000, 5.2426232E-003, 0.0000000E+000
 5.5666906E-001, 2.1934160E+002, 0.0000000E+000,-1.4987130E+002, 1.0926028E+000,-4.5116563E-001,-1.3283848E-002, 0.0000000E+000, 0.0000000E+000, 1.4602625E+002, 7.0098462E+001, 0.0000000E+000, 5.7977221E-003, 0.0000000E+000
 6.2002790E-001, 2.4289122E+002, 0.0000000E+000,-1.3706020E+002, 1.6158030E+000,-3.8974034E-001,-1.4005955E-002, 0.0000000E+000, 0.0000000E+000, 6.9459020E+001, 1.0704308E+002, 0.0000000E+000, 6.0873950E-003, 0.0000000E+000
 7.3358786E-001, 1.9621975E+002, 0.0000000E+000,-1.4033784E+002, 9.5518738E-001,-3.8526965E-001,-1.5782476E-002, 0.0000000E+000, 0.0000000E+000, 7.0953836E+001, 5.6436041E+001, 0.0000000E+000, 6.3861889E-003, 0.0000000E+000
 8.3569729E-001, 1.8799145E+002, 0.0000000E+000,-6.7286973E+001, 1.9194609E+000,-3.2855833E-001,-1.7136523E-002, 0.0000000E+000, 0.0000000E+000, 8.7652736E+001, 1.2227824E+002, 0.0000000E+000, 6.6563733E-003, 0.0000000E+000
 9.0979761E-001, 2.9073924E+002, 0.0000000E+000,-1.2698774E+002, 2.6312329E+000,-3.4158248E-001,-1.8007631E-002, 0.0000000E+000, 0.0000000E+000, 1.5310205E+002, 1.6602314E+002, 0.0000000E+000, 6.8027713E-003, 0.0000000E+000
 1.0108788E+000, 3.1773719E+002, 0.0000000E+000,-1.3921649E+002, 2.9209278E+000,-3.5662874E-001,-1.8615047E-002, 0.0000000E+000, 0.0000000E+000, 1.6975275E+002, 1.8106639E+002, 0.0000000E+000, 6.9153439E-003, 0.0000000E+000
 1.1150289E+000, 3.8566093E+002, 0.0000000E+000,-1.6311454E+002, 3.7092918E+000,-3.3333446E-001,-1.8878999E-002, 0.0000000E+000, 0.0000000E+000, 2.1549760E+002, 2.2590346E+002, 0.0000000E+000, 7.0068033E-003, 0.0000000E+000
 1.2055886E+000, 4.1690882E+002, 0.0000000E+000,-1.4808582E+002, 4.4971073E+000,-2.7356576E-001,-1.8914896E-002, 0.0000000E+000, 0.0000000E+000, 2.6629009E+002, 2.7302763E+002, 0.0000000E+000, 7.0667079E-003, 0.0000000E+000
 1.3053765E+000, 3.6267560E+002, 0.0000000E+000,-1.1489480E+002, 4.1607581E+000,-3.1806174E-001,-1.8571211E-002, 0.0000000E+000, 0.0000000E+000, 2.5921620E+002, 2.5160492E+002, 0.0000000E+000, 7.1081867E-003, 0.0000000E+000
 1.4091208E+000, 3.1803616E+002, 0.0000000E+000,-1.0067602E+002, 3.5811908E+000,-3.8122989E-001,-1.8975109E-002, 0.0000000E+000, 0.0000000E+000, 2.2385899E+002, 2.2054113E+002, 0.0000000E+000, 7.1385127E-003, 0.0000000E+000
 1.5107526E+000, 3.3910685E+002, 0.0000000E+000,-1.1837617E+002, 3.5495488E+000,-3.6204617E-001,-1.8857564E-002, 0.0000000E+000, 0.0000000E+000, 2.2267756E+002, 2.2389932E+002, 0.0000000E+000, 7.1591439E-003, 0.0000000E+000
 1.6082432E+000, 3.3088006E+002, 0.0000000E+000,-1.2304668E+002, 3.3002468E+000,-3.5176022E-001,-1.8458066E-002, 0.0000000E+000, 0.0000000E+000, 2.1356348E+002, 2.1076340E+002, 0.0000000E+000, 7.1724435E-003, 0.0000000E+000
 1.7048635E+000, 2.9854749E+002, 0.0000000E+000,-1.0137944E+002,-6.6118199E+000,-3.8271266E-001,-1.8381329E-002, 0.0000000E+000, 0.0000000E+000, 1.9346093E+002, 1.9015514E+002, 0.0000000E+000, 7.1812327E-003, 0.0000000E+000
 1.8062922E+000, 2.9595745E+002, 0.0000000E+000,-9.0753098E+001,-1.6751728E+002,-4.2403727E-001,-1.8861242E-002, 0.0000000E+000, 0.0000000E+000, 4.6361706E+001, 3.7244172E+001, 0.0000000E+000, 7.1873446E-003, 0.0000000E+000
 1.9051363E+000, 3.0156431E+002, 0.0000000E+000,-8.4204267E+001,-2.7255452E+002,-4.4045354E-001,-1.9352435E-002, 0.0000000E+000, 0.0000000E+000,-5.7260609E+001,-5.5654282E+001, 0.0000000E+000, 7.1915342E-003, 0.0000000E+000
 2.0097687E+000, 3.4832274E+002, 0.0000000E+000,-9.6273178E+001,-2.4056300E+002,-4.2250442E-001,-1.9570577E-002, 0.0000000E+000, 0.0000000E+000, 4.9693040E+000, 1.1044488E+001, 0.0000000E+000, 7.1943542E-003, 0.0000000E+000
 2.1014800E+000, 3.8967732E+002, 0.0000000E+000,-1.1623229E+002,-2.3656738E+002,-4.1702740E-001,-1.9580964E-002, 0.0000000E+000, 0.0000000E+000, 3.8056494E+001, 3.6441042E+001, 0.0000000E+000, 7.1961910E-003, 0.0000000E+000
 2.2032440E+000, 3.5177281E+002, 0.0000000E+000,-1.0168994E+002,-2.8495467E+002,-4.2793870E-001,-1.9525400E-002, 0.0000000E+000, 0.0000000E+000,-2.9692328E+001,-3.5319272E+001, 0.0000000E+000, 7.1974053E-003, 0.0000000E+000
 2.3009582E+000, 3.2052161E+002, 0.0000000E+000,-8.5425355E+001,-3.5171796E+002,-4.4792889E-001,-1.9531560E-002, 0.0000000E+000, 0.0000000E+000,-1.1488292E+002,-1.1708917E+002, 0.0000000E+000, 7.1982555E-003, 0.0000000E+000
 2.4022257E+000, 3.2283719E+002, 0.0000000E+000,-8.6104885E+001,-3.1747949E+002,-4.6903809E-001,-1.9576812E-002, 0.0000000E+000, 0.0000000E+000,-8.4642614E+001,-8.1235803E+001, 0.0000000E+000, 7.1988301E-003, 0.0000000E+000
 2.5097113E+000, 3.3619293E+002, 0.0000000E+000,-8.9446879E+001,-2.7301586E+002,-4.6756792E-001,-1.9556194E-002, 0.0000000E+000, 0.0000000E+000,-2.8583096E+001,-2.6756940E+001, 0.0000000E+000, 7.1992296E-003, 0.0000000E+000
 2.6074255E+000, 3.3708987E+002, 0.0000000E+000,-8.7606693E+001,-2.6370267E+002,-5.0971104E-001,-1.9505313E-002, 0.0000000E+000, 0.0000000E+000,-1.4606189E+001,-1.4748717E+001, 0.0000000E+000, 7.1994896E-003, 0.0000000E+000
 2.7051396E+000, 3.3753751E+002, 0.0000000E+000,-8.7418023E+001,-2.8315530E+002,-5.1038460E-001,-1.9459916E-002, 0.0000000E+000, 0.0000000E+000,-3.1675221E+001,-3.3565659E+001, 0.0000000E+000, 7.1996547E-003, 0.0000000E+000
 2.8028538E+000, 3.3168948E+002, 0.0000000E+000,-8.4580984E+001,-2.8655775E+002,-5.5538845E-001,-1.9403453E-002, 0.0000000E+000, 0.0000000E+000,-4.1110633E+001,-4.0024046E+001, 0.0000000E+000, 7.1997664E-003, 0.0000000E+000
 2.9005680E+000, 3.2202802E+002, 0.0000000E+000,-7.9941197E+001,-2.7179620E+002,-6.1676208E-001,-1.9364289E-002, 0.0000000E+000, 0.0000000E+000,-3.0383412E+001,-3.0345506E+001, 0.0000000E+000, 7.1998420E-003, 0.0000000E+000
 3.0080538E+000, 3.1975444E+002, 0.0000000E+000,-7.7979784E+001,-2.7536300E+002,-7.0287825E-001,-1.9380465E-002, 0.0000000E+000, 0.0000000E+000,-3.4784056E+001,-3.4310602E+001, 0.0000000E+000, 7.1998950E-003, 0.0000000E+000
 3.1057680E+000, 3.2242360E+002, 0.0000000E+000,-7.9134879E+001,-2.6508402E+002,-7.7738332E-001,-1.9438881E-002, 0.0000000E+000, 0.0000000E+000,-2.2194000E+001,-2.2592121E+001, 0.0000000E+000, 7.1999305E-003, 0.0000000E+000
 3.2034822E+000, 3.2116816E+002, 0.0000000E+000,-7.8867914E+001,-2.5009903E+002,-8.0382930E-001,-1.9479578E-002, 0.0000000E+000, 0.0000000E+000,-1.0127869E+001,-8.6220869E+000, 0.0000000E+000, 7.1999530E-003, 0.0000000E+000
 3.3011963E+000, 3.2722758E+002, 0.0000000E+000,-8.1886408E+001,-2.3772305E+002,-8.5385644E-001,-1.9575532E-002, 0.0000000E+000, 0.0000000E+000, 7.7935710E+000, 6.7446897E+000, 0.0000000E+000, 7.1999682E-003, 0.0000000E+000
 3.4086819E+000, 3.2743293E+002, 0.0000000E+000,-8.1750414E+001,-2.3761659E+002,-8.3637149E-001,-1.9660857E-002, 0.0000000E+000, 0.0000000E+000, 7.1045504E+000, 7.2098975E+000, 0.0000000E+000, 7.1999789E-003, 0.0000000E+000
 3.5063961E+000, 3.2471315E+002, 0.0000000E+000,-7.7095643E+001,-2.5095750E+002,-8.4201113E-001,-1.9659743E-002, 0.0000000E+000, 0.0000000E+000,-4.9941763E+000,-4.2016660E+000, 0.0000000E+000, 7.1999860E-003, 0.0000000E+000
 3.6041102E+000, 3.2902264E+002, 0.0000000E+000,-7.5881318E+001,-2.4292210E+002,-8.5007512E-001,-1.9606397E-002, 0.0000000E+000, 0.0000000E+000, 9.0972548E+000, 9.3495382E+000, 0.0000000E+000, 7.1999905E-003, 0.0000000E+000
 3.7018244E+000, 3.3381941E+002, 0.0000000E+000,-7.8147701E+001,-2.3620640E+002,-8.5850860E-001,-1.9604440E-002, 0.0000000E+000, 0.0000000E+000, 1.8697551E+001, 1.8587192E+001, 0.0000000E+000, 7.1999936E-003, 0.0000000E+000
 3.8012323E+000, 3.3704526E+002, 0.0000000E+000,-8.0962401E+001,-2.2730369E+002,-8.1350768E-001,-1.9584721E-002, 0.0000000E+000, 0.0000000E+000, 2.6974972E+001, 2.7946079E+001, 0.0000000E+000, 7.1999957E-003, 0.0000000E+000
 3.9055035E+000, 3.4654518E+002, 0.0000000E+000,-8.4993772E+001,-2.3966157E+002,-7.5333953E-001,-1.9431821E-002, 0.0000000E+000, 0.0000000E+000, 2.1138052E+001, 2.1117061E+001, 0.0000000E+000, 7.1999971E-003, 0.0000000E+000
 4.0088267E+000, 3.2964186E+002, 0.0000000E+000,-7.8658194E+001,-2.2353139E+002,-7.7980122E-001,-1.9362186E-002, 0.0000000E+000, 0.0000000E+000, 2.7075420E+001, 2.6653113E+001, 0.0000000E+000, 7.1999981E-003, 0.0000000E+000
 4.1026711E+000, 3.1494567E+002, 0.0000000E+000,-7.4833933E+001,-2.0700105E+002,-7.2585465E-001,-1.9309938E-002, 0.0000000E+000, 0.0000000E+000, 3.2495949E+001, 3.2365514E+001, 0.0000000E+000, 7.1999987E-003, 0.0000000E+000
 4.2090278E+000, 3.0904338E+002, 0.0000000E+000,-7.2032682E+001,-1.9130869E+002,-7.2571310E-001,-1.9152808E-002, 0.0000000E+000, 0.0000000E+000, 4.5018197E+001, 4.4957142E+001, 0.0000000E+000, 7.1999991E-003, 0.0000000E+000
 4.3028274E+000, 3.2473369E+002, 0.0000000E+000,-7.7382920E+001,-2.1938444E+002,-7.2677545E-001,-1.9102058E-002, 0.0000000E+000, 0.0000000E+000, 2.7408093E+001, 2.7220455E+001, 0.0000000E+000, 7.1999994E-003, 0.0000000E+000
 4.4057393E+000, 3.2580647E+002, 0.0000000E+000,-8.0582858E+001,-2.0696059E+002,-7.5589808E-001,-1.9225432E-002, 0.0000000E+000, 0.0000000E+000, 3.6154629E+001, 3.7487897E+001, 0.0000000E+000, 7.1999996E-003, 0.0000000E+000
 4.5014482E+000, 3.3748851E+002, 0.0000000E+000,-8.1535507E+001,-2.2088038E+002,-6.8405612E-001,-1.9429958E-002, 0.0000000E+000, 0.0000000E+000, 3.3858358E+001, 3.4369136E+001, 0.0000000E+000, 7.1999997E-003, 0.0000000E+000
 4.6102586E+000, 3.4133408E+002, 0.0000000E+000,-7.9729256E+001,-2.0843237E+002,-6.9492393E-001,-1.9573780E-002, 0.0000000E+000, 0.0000000E+000, 4.9990923E+001, 5.2457958E+001, 0.0000000E+000, 7.1999998E-003, 0.0000000E+000
 4.7040439E+000, 3.3597210E+002, 0.0000000E+000,-7.7379569E+001,-1.9248136E+002,-7.0464443E-001,-1.9506466E-002, 0.0000000E+000, 0.0000000E+000, 6.6055007E+001, 6.5387020E+001, 0.0000000E+000, 7.1999999E-003, 0.0000000E+000
 4.8081398E+000, 3.2049334E+002, 0.0000000E+000,-7.8979590E+001,-2.0714184E+002,-7.9860982E-001,-1.9471308E-002, 0.0000000E+000, 0.0000000E+000, 3.6468674E+001, 3.3553824E+001, 0.0000000E+000, 7.1999999E-003, 0.0000000E+000
 4.9061699E+000, 3.1743116E+002, 0.0000000E+000,-7.7901919E+001,-2.2922121E+002,-7.7828681E-001,-1.9419905E-002, 0.0000000E+000, 0.0000000E+000, 8.8387999E+000, 9.5103254E+000, 0.0000000E+000, 7.1999999E-003, 0.0000000E+000
 5.0030894E+000, 3.2756268E+002, 0.0000000E+000,-8.2535453E+001,-2.0121849E+002,-8.9282059E-001,-1.9382835E-002, 0.0000000E+000, 0.0000000E+000, 4.1890988E+001, 4.2896534E+001, 0.0000000E+000, 7.2000000E-003, 0.0000000E+000
 5.1019473E+000, 3.2550531E+002, 0.0000000E+000,-8.4383551E+001,-2.5773747E+002,-1.0517675E+000,-1.9270700E-002, 0.0000000E+000, 0.0000000E+000,-1.2277806E+001,-1.7686747E+001, 0.0000000E+000, 7.2000000E-003, 0.0000000E+000
 5.2085586E+000, 3.0808644E+002, 0.0000000E+000,-7.8883286E+001,-2.9960162E+002,-1.1548110E+000,-1.9051346E-002, 0.0000000E+000, 0.0000000E+000,-7.1027617E+001,-7.1572323E+001, 0.0000000E+000, 7.2000000E-003, 0.0000000E+000
