s,C
Time,"TEMP_CENTER"
 0.0000000E+000, 2.0000000E+001
 1.1559517E-001, 2.0000000E+001
 2.3119034E-001, 2.0000009E+001
 3.4678551E-001, 1.9999997E+001
 4.6238068E-001, 2.0000081E+001
 5.7797585E-001, 2.0000159E+001
 6.4089731E-001, 2.0000212E+001
 7.0163899E-001, 2.0007372E+001
 7.6238068E-001, 2.0014544E+001
 8.2312237E-001, 2.0021718E+001
 8.6523992E-001, 2.0031742E+001
 9.0735746E-001, 2.0041803E+001
 9.4511951E-001, 2.0050872E+001
 9.8288155E-001, 2.0067779E+001
 1.0152837E+000, 2.0082400E+001
 1.0431194E+000, 2.0095083E+001
 1.0709552E+000, 2.0110841E+001
 1.0949943E+000, 2.0124614E+001
 1.1190335E+000, 2.0138599E+001
 1.1402908E+000, 2.0157900E+001
 1.1615480E+000, 2.0177483E+001
 1.1804154E+000, 2.0195082E+001
 1.1992827E+000, 2.0216323E+001
 1.2181500E+000, 2.0237613E+001
 1.2370173E+000, 2.0258665E+001
 1.2539417E+000, 2.0280900E+001
 1.2708661E+000, 2.0304023E+001
 1.2877905E+000, 2.0328416E+001
 1.3047150E+000, 2.0371262E+001
 1.3216394E+000, 2.0536742E+001
 1.3385638E+000, 2.7753971E+001
 1.3554882E+000, 5.7730040E+001
 1.3724126E+000, 1.1978254E+002
 1.3893370E+000, 1.8579668E+002
 1.4062615E+000, 2.1359032E+002
 1.4231859E+000, 2.2281548E+002
 1.4401103E+000, 2.2970646E+002
 1.4570347E+000, 2.3602166E+002
 1.4739591E+000, 2.4873920E+002
 1.4908836E+000, 2.7298502E+002
 1.5078080E+000, 3.1258931E+002
 1.5247324E+000, 3.8528667E+002
 1.5416568E+000, 4.5818660E+002
 1.5585812E+000, 4.7679741E+002
 1.5737550E+000, 4.8989147E+002
 1.5889289E+000, 4.9519972E+002
 1.6041027E+000, 4.8349853E+002
 1.6192765E+000, 4.6718973E+002
 1.6344504E+000, 4.5587310E+002
 1.6480789E+000, 4.3695025E+002
 1.6617075E+000, 4.2049284E+002
 1.6753361E+000, 4.0420263E+002
 1.6889647E+000, 3.8015062E+002
 1.7025933E+000, 3.4365645E+002
 1.7162219E+000, 3.1712613E+002
 1.7298504E+000, 2.9298162E+002
 1.7434790E+000, 2.6463504E+002
 1.7571076E+000, 2.4009852E+002
 1.7707362E+000, 2.2487106E+002
 1.7843648E+000, 2.1062137E+002
 1.8116220E+000, 2.2630122E+002
 1.8388791E+000, 2.9646396E+002
 1.8661363E+000, 3.7381157E+002
 1.8933935E+000, 4.0246478E+002
 1.9206506E+000, 3.9690203E+002
 1.9615364E+000, 3.8108377E+002
 1.9887935E+000, 3.9871926E+002
 2.0160507E+000, 4.3259960E+002
 2.0446707E+000, 4.5554855E+002
 2.0746536E+000, 4.4889579E+002
 2.1046365E+000, 4.7141586E+002
 2.1346194E+000, 4.8475976E+002
 2.1646023E+000, 4.7859613E+002
 2.1945852E+000, 4.7503019E+002
 2.2245680E+000, 4.6985761E+002
 2.2545509E+000, 4.7017484E+002
 2.2845338E+000, 4.7694842E+002
 2.3145167E+000, 4.6812032E+002
 2.3444996E+000, 4.6263027E+002
 2.3744825E+000, 4.7360824E+002
 2.4044654E+000, 4.6785073E+002
 2.4344482E+000, 4.6342813E+002
 2.4644311E+000, 4.9280496E+002
