s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6113479E-005, 1.6653345E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6113479E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.4922110E-002, 0.0000000E+000, 0.0000000E+000,-3.4243025E-007, 2.0377666E-005, 0.0000000E+000,-2.7367135E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5363611E-004, 0.0000000E+000, 1.0752000E-004, 0.0000000E+000
 1.8984422E-001, 3.1927376E+000, 0.0000000E+000,-5.6295356E-006, 5.9442201E-002,-8.8260107E-006,-4.8610919E-004, 0.0000000E+000, 0.0000000E+000, 2.6732153E-002, 3.2516792E+000,-1.1400551E+000, 2.1504000E-004, 0.0000000E+000
 2.6515988E-001, 2.4109162E+000, 0.0000000E+000,-4.0512360E-002, 3.6173689E-002,-2.4953287E-003,-7.1129407E-004, 0.0000000E+000, 0.0000000E+000, 3.2503713E+000, 2.4033710E+000,-2.2598682E+000, 2.9568000E-004, 0.0000000E+000
 3.3153972E-001, 1.1108363E+001, 0.0000000E+000,-1.4619064E-001, 1.8901454E-001,-4.7205314E-003,-7.8648574E-004, 0.0000000E+000, 0.0000000E+000, 2.4462539E+000, 1.1145680E+001,-3.1214227E+000, 3.6960000E-004, 0.0000000E+000
 3.9791957E-001, 8.4025844E+000, 0.0000000E+000,-4.8936753E-001, 1.2480706E-001,-1.6237734E-002,-1.1561596E-003, 0.0000000E+000, 0.0000000E+000, 1.1141374E+001, 8.0206301E+000,-3.8537032E+000, 4.4352000E-004, 0.0000000E+000
 4.5344472E-001, 1.9985200E+001, 0.0000000E+000,-8.9303143E-001, 3.1714185E-001,-2.2784296E-002,-1.1513166E-003, 0.0000000E+000, 0.0000000E+000, 8.1209736E+000, 1.9385374E+001,-4.5555726E+000, 5.1072000E-004, 0.0000000E+000
 5.0896990E-001, 1.9009029E+001, 0.0000000E+000,-2.8424724E+000, 2.5611185E-001,-4.3046936E-002,-1.4603893E-003, 0.0000000E+000, 0.0000000E+000, 1.9337146E+001, 1.6378162E+001,-5.1164395E+000, 5.7120000E-004, 0.0000000E+000
 5.6449503E-001, 3.3371778E+001, 0.0000000E+000,-6.0841915E+000, 4.3084876E-001,-5.4199732E-002,-1.4021964E-003, 0.0000000E+000, 0.0000000E+000, 1.6710994E+001, 2.7662833E+001,-5.6514867E+000, 6.3168000E-004, 0.0000000E+000
 6.1367977E-001, 3.6388475E+001, 0.0000000E+000,-1.7935544E+001, 2.9360880E-001,-7.7074455E-002,-1.7124684E-003, 0.0000000E+000, 0.0000000E+000, 2.7627154E+001, 1.8667753E+001,-6.1593926E+000, 6.8544000E-004,-5.9404466E-028
 6.6286451E-001, 4.0515689E+001, 0.0000000E+000,-2.0809280E+001, 3.1202694E-001,-7.6400030E-002,-1.9046197E-003, 0.0000000E+000, 0.0000000E+000, 1.8817538E+001, 1.9940131E+001,-6.5859188E+000, 7.3920000E-004,-5.9160568E-026
 7.1204925E-001, 4.0643006E+001, 0.0000000E+000,-2.4394981E+001, 2.5786231E-001,-7.8457849E-002,-2.1137736E-003, 0.0000000E+000, 0.0000000E+000, 1.9943316E+001, 1.6425316E+001,-6.9901191E+000, 7.9968000E-004,-8.2516183E-025
 7.6123399E-001, 3.9723481E+001, 0.0000000E+000,-2.3205929E+001, 2.6294008E-001,-7.7855360E-002,-2.3288496E-003, 0.0000000E+000, 0.0000000E+000, 1.6405500E+001, 1.6700307E+001,-7.3719035E+000, 8.5344000E-004,-4.4180717E-024
