s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHANOL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6289170E-005,-2.7755576E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6289170E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1749051E-001, 0.0000000E+000, 0.0000000E+000,-2.4004894E-007,-3.1897256E-004, 0.0000000E+000,-1.9864807E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1786068E-004, 0.0000000E+000, 1.3440000E-004, 0.0000000E+000
 2.3498102E-001, 2.8284581E+000, 0.0000000E+000,-2.3964974E-007, 5.1258311E-002,-1.5561001E-009,-3.2396993E-004, 0.0000000E+000, 0.0000000E+000,-7.5112335E-004, 2.8793922E+000, 0.0000000E+000, 2.6208000E-004, 0.0000000E+000
 3.5247153E-001, 1.3983274E+000, 0.0000000E+000,-6.0496728E-002, 1.8710316E-002,-1.9547605E-003,-5.0349555E-004, 0.0000000E+000, 0.0000000E+000, 2.8251448E+000, 1.3540827E+000, 0.0000000E+000, 3.9648000E-004, 0.0000000E+000
 4.6996203E-001, 1.9453959E+001, 0.0000000E+000,-2.3937693E-001, 3.3631652E-001,-3.1031021E-003,-5.5022859E-004, 0.0000000E+000, 0.0000000E+000, 1.3628571E+000, 1.9547246E+001, 0.0000000E+000, 5.2416000E-004, 0.0000000E+000
 5.8745253E-001, 7.7155584E+000, 0.0000000E+000,-9.2009791E-001, 1.0921689E-001,-2.6500771E-002,-1.0592775E-003, 0.0000000E+000, 0.0000000E+000, 1.9334565E+001, 6.8771173E+000, 0.0000000E+000, 6.5856000E-004, 0.0000000E+000
 7.0494306E-001, 5.0492926E+001, 0.0000000E+000,-2.5896235E+000, 8.0264573E-001,-3.4070228E-002,-1.0334199E-003, 0.0000000E+000, 0.0000000E+000, 7.1500279E+000, 4.8670845E+001, 0.0000000E+000, 7.8624000E-004, 0.0000000E+000
 8.2243359E-001, 2.4892213E+001, 0.0000000E+000,-2.8217874E+001,-4.2270532E-002,-1.0776225E-001,-1.3610745E-003, 0.0000000E+000, 0.0000000E+000, 4.7656601E+001,-3.4770542E+000, 0.0000000E+000, 9.2064000E-004, 0.0000000E+000
 9.1436404E-001, 3.8878176E+001, 0.0000000E+000,-1.1946710E+001, 4.4724328E-001,-5.8366071E-002,-1.7587359E-003, 0.0000000E+000, 0.0000000E+000,-3.8182737E+000, 2.7318584E+001, 0.0000000E+000, 1.0214400E-003, 0.0000000E+000
 9.9184161E-001, 3.6845201E+001, 0.0000000E+000,-1.9155234E+001, 3.0951759E-001,-6.4738690E-002,-1.9414709E-003, 0.0000000E+000, 0.0000000E+000, 2.7210996E+001, 1.7932805E+001, 0.0000000E+000, 1.1088000E-003, 0.0000000E+000
 1.0693192E+000, 3.4569794E+001, 0.0000000E+000,-1.3266348E+001, 3.6153681E-001,-5.7943936E-002,-2.1387629E-003, 0.0000000E+000, 0.0000000E+000, 1.7983901E+001, 2.1604900E+001, 0.0000000E+000, 1.1961600E-003, 0.0000000E+000
 1.1293343E+000, 3.5198277E+001, 0.0000000E+000,-1.3561242E+001, 3.7229965E-001,-5.2567074E-002,-2.2722523E-003, 0.0000000E+000, 0.0000000E+000, 2.1534999E+001, 2.1954495E+001, 0.0000000E+000, 1.2633600E-003, 0.0000000E+000
 1.1821281E+000, 3.5550258E+001, 0.0000000E+000,-1.1763382E+001, 4.0657214E-001,-4.9416632E-002,-2.3907154E-003, 0.0000000E+000, 0.0000000E+000, 2.1937128E+001, 2.4141640E+001, 0.0000000E+000, 1.3238400E-003, 0.0000000E+000
 1.2349218E+000, 3.5891150E+001, 0.0000000E+000,-1.1263075E+001, 4.2011374E-001,-4.6665381E-002,-2.4980241E-003, 0.0000000E+000, 0.0000000E+000, 2.4119870E+001, 2.4999025E+001, 0.0000000E+000, 1.3843200E-003, 0.0000000E+000
 1.2774659E+000, 3.7933526E+001, 0.0000000E+000,-1.0910758E+001, 4.6039143E-001,-4.4332063E-002,-2.5740388E-003, 0.0000000E+000, 0.0000000E+000, 2.4974133E+001, 2.7436252E+001, 0.0000000E+000, 1.4313600E-003, 0.0000000E+000
 1.3148952E+000, 3.8565876E+001, 0.0000000E+000,-1.0249503E+001, 4.8345934E-001,-4.1729073E-002,-2.6336643E-003, 0.0000000E+000, 0.0000000E+000, 2.7428660E+001, 2.8755470E+001, 0.0000000E+000, 1.4716800E-003, 0.0000000E+000
 1.3523242E+000, 3.9086630E+001, 0.0000000E+000,-1.0054584E+001, 4.9417015E-001,-3.9243261E-002,-2.6845116E-003, 0.0000000E+000, 0.0000000E+000, 2.8750622E+001, 2.9484289E+001, 0.0000000E+000, 1.5120000E-003, 0.0000000E+000
 1.3897535E+000, 3.9941744E+001, 0.0000000E+000,-1.0090390E+001, 5.0685770E-001,-3.6646025E-002,-2.7349723E-003, 0.0000000E+000, 0.0000000E+000, 2.9475515E+001, 3.0318831E+001, 0.0000000E+000, 1.5590400E-003, 0.0000000E+000
 1.4205483E+000, 4.1798446E+001, 0.0000000E+000,-9.6705525E+000, 5.4613324E-001,-3.5897414E-002,-2.7593751E-003, 0.0000000E+000, 0.0000000E+000, 3.0311638E+001, 3.2635370E+001, 0.0000000E+000, 1.5926400E-003, 0.0000000E+000
 1.4513432E+000, 4.2188673E+001, 0.0000000E+000,-9.8606617E+000, 5.4747592E-001,-3.6861785E-002,-2.7819804E-003, 0.0000000E+000, 0.0000000E+000, 3.2636491E+001, 3.2835843E+001, 0.0000000E+000, 1.6262400E-003, 0.0000000E+000
 1.4821379E+000, 4.2813959E+001, 0.0000000E+000,-1.0294572E+001, 5.4836440E-001,-3.8257230E-002,-2.8062153E-003, 0.0000000E+000, 0.0000000E+000, 3.2853192E+001, 3.3026688E+001, 0.0000000E+000, 1.6598400E-003, 0.0000000E+000
